,wl,hbo2,hb
0,700,290.0,1794.28
1,701,292.0,1767.6399999999999
2,702,294.0,1741.0
3,703,296.0,1714.38
4,704,298.0,1687.76
5,705,300.4,1661.12
6,706,302.8,1634.48
7,707,305.6,1609.0
8,708,308.4,1583.52
9,709,311.2,1562.0
10,710,314.0,1540.48
11,711,316.8,1518.94
12,712,319.6,1497.4
13,713,322.4,1475.88
14,714,325.2,1454.36
15,715,328.6,1432.84
16,716,332.0,1411.32
17,717,336.0,1389.8
18,718,340.0,1368.28
19,719,344.0,1347.08
20,720,348.0,1325.88
21,721,352.0,1305.52
22,722,356.0,1285.16
23,723,360.0,1264.8000000000002
24,724,364.0,1244.44
25,725,368.2,1224.06
26,726,372.4,1203.68
27,727,376.79999999999995,1178.24
28,728,381.2,1152.8
29,729,385.6,1127.5
30,730,390.0,1102.2
31,731,394.4,1102.2
32,732,398.8,1102.2
33,733,403.20000000000005,1102.2
34,734,407.6,1102.2
35,735,413.20000000000005,1101.98
36,736,418.8,1101.76
37,737,425.6,1101.12
38,738,432.4,1100.48
39,739,439.2,1108.18
40,740,446.0,1115.88
41,741,452.8,1138.7600000000002
42,742,459.6,1161.64
43,743,466.4,1184.52
44,744,473.2,1207.4
45,745,480.4,1236.72
46,746,487.6,1266.04
47,747,495.20000000000005,1299.6399999999999
48,748,502.8,1333.24
49,749,510.4,1369.24
50,750,518.0,1405.24
51,751,525.6,1460.28
52,752,533.2,1515.32
53,753,540.8,1528.54
54,754,548.4,1541.76
55,755,555.2,1551.12
56,756,562.0,1560.48
57,757,568.0,1560.48
58,758,574.0,1560.48
59,759,580.0,1554.5
60,760,586.0,1548.52
61,761,592.0,1528.48
62,762,598.0,1508.44
63,763,604.0,1484.0
64,764,610.0,1459.56
65,765,616.4,1435.04
66,766,622.8,1410.52
67,767,629.5999999999999,1385.92
68,768,636.4,1361.32
69,769,643.2,1336.6
70,770,650.0,1311.88
71,771,656.8,1287.16
72,772,663.6,1262.44
73,773,670.4000000000001,1237.72
74,774,677.2,1213.0
75,775,683.2,1188.28
76,776,689.2,1163.56
77,777,694.4000000000001,1139.1799999999998
78,778,699.6,1114.8
79,779,704.8,1095.12
80,780,710.0,1075.44
81,781,715.2,1055.76
82,782,720.4,1036.08
83,783,725.5999999999999,1016.4
84,784,730.8,996.72
85,785,735.4,977.04
86,786,740.0,957.36
87,787,744.0,939.5799999999999
88,788,748.0,921.8
89,789,752.0,906.3
90,790,756.0,890.8
91,791,760.0,875.3
92,792,764.0,859.8
93,793,768.0,844.3
94,794,772.0,828.8
95,795,779.2,815.88
96,796,786.4,802.96
97,797,796.8,792.6600000000001
98,798,807.2,782.36
99,799,811.6,772.04
100,800,816.0,761.72
101,801,822.0,752.78
102,802,828.0,743.84
103,803,832.0,740.46
104,804,836.0,737.08
105,805,840.0,733.6800000000001
106,806,844.0,730.28
107,807,850.0,726.9
108,808,856.0,723.52
109,809,860.0,720.3
110,810,864.0,717.08
111,811,868.0,714.46
112,812,872.0,711.84
113,813,876.0,709.22
114,814,880.0,706.6
115,815,883.6,703.96
116,816,887.2,701.32
117,817,894.4000000000001,698.7
118,818,901.6,696.08
119,819,908.8,694.9200000000001
120,820,916.0,693.76
121,821,923.2,693.6800000000001
122,822,930.4,693.6
123,823,937.5999999999999,693.54
124,824,944.8,693.48
125,825,950.5999999999999,693.4000000000001
126,826,956.4,693.32
127,827,960.8,693.26
128,828,965.2,693.2
129,829,969.6,693.12
130,830,974.0,693.04
131,831,978.4,692.98
132,832,982.8,692.92
133,833,987.2,692.8399999999999
134,834,991.6,692.76
135,835,996.4000000000001,692.7
136,836,1001.2,692.64
137,837,1006.4000000000001,692.56
138,838,1011.6,692.48
139,839,1016.8,692.4200000000001
140,840,1022.0,692.36
141,841,1027.2,692.28
142,842,1032.4,692.2
143,843,1037.6,692.08
144,844,1042.8,691.96
145,845,1046.4,691.86
146,846,1050.0,691.76
147,847,1052.0,691.64
148,848,1054.0,691.52
149,849,1056.0,691.4200000000001
150,850,1058.0,691.32
151,851,1060.0,691.2
152,852,1062.0,691.08
153,853,1064.0,690.98
154,854,1066.0,690.88
155,855,1069.4,690.76
156,856,1072.8,690.64
157,857,1077.6,691.54
158,858,1082.4,692.44
159,859,1087.2,693.3800000000001
160,860,1092.0,694.32
161,861,1096.8,695.26
162,862,1101.6,696.2
163,863,1106.4,697.12
164,864,1111.2,698.04
165,865,1114.8000000000002,698.98
166,866,1118.4,699.92
167,867,1120.8000000000002,700.8599999999999
168,868,1123.2,701.8
169,869,1125.6,703.8199999999999
170,870,1128.0,705.84
171,871,1130.4,707.9000000000001
172,872,1132.8,709.96
173,873,1135.1999999999998,712.02
174,874,1137.6,714.08
175,875,1140.1999999999998,716.1400000000001
176,876,1142.8,718.2
177,877,1145.6,720.26
178,878,1148.4,722.32
179,879,1151.2,724.3800000000001
180,880,1154.0,726.44
181,881,1156.8,728.1400000000001
182,882,1159.6,729.84
183,883,1162.4,731.52
184,884,1165.2,733.2
185,885,1167.6,734.9000000000001
186,886,1170.0,736.6
187,887,1172.0,738.28
188,888,1174.0,739.96
189,889,1176.0,741.78
190,890,1178.0,743.6
191,891,1180.0,745.4200000000001
192,892,1182.0,747.24
193,893,1184.0,749.06
194,894,1186.0,750.88
195,895,1188.0,752.7
196,896,1190.0,754.52
197,897,1192.0,756.3399999999999
198,898,1194.0,758.16
199,899,1196.0,760.0
